codprov,coddepto,codmuni,nomprov,nommuni,nomdepto
21,3,132,SANTA FE,GALISTEO,CASTELLANOS
21,3,135,SANTA FE,GARIBALDI,CASTELLANOS
21,3,152,SANTA FE,COLONIA HUGENTOBLER,CASTELLANOS
21,3,154,SANTA FE,HUMBERTO PRIMO,CASTELLANOS
21,3,161,SANTA FE,JOSEFINA,CASTELLANOS
21,3,193,SANTA FE,LEHMANN,CASTELLANOS
21,3,210,SANTA FE,MARIA JUANA,CASTELLANOS
21,3,215,SANTA FE,COLONIA MAUA,CASTELLANOS
21,3,242,SANTA FE,PLAZA CLUCELLAS,CASTELLANOS
21,3,245,SANTA FE,PRESIDENTE ROCA,CASTELLANOS
21,3,251,SANTA FE,PUEBLO MARINI,CASTELLANOS
21,3,257,SANTA FE,RAFAELA,CASTELLANOS
21,3,259,SANTA FE,RAMONA,CASTELLANOS
21,3,270,SANTA FE,ESTACION SAGUIER,CASTELLANOS
21,3,274,SANTA FE,SAN ANTONIO (PUEBLO),CASTELLANOS
21,3,302,SANTA FE,SAN VICENTE,CASTELLANOS
21,3,306,SANTA FE,SANTA CLARA DE SAGUIER,CASTELLANOS
21,3,327,SANTA FE,SUNCHALES,CASTELLANOS
21,3,328,SANTA FE,SUSANA,CASTELLANOS
21,3,330,SANTA FE,TACURAL,CASTELLANOS
21,3,331,SANTA FE,TACURALES,CASTELLANOS
21,3,345,SANTA FE,VILA,CASTELLANOS
21,3,356,SANTA FE,VILLA SAN JOSE,CASTELLANOS
21,3,360,SANTA FE,VIRGINIA,CASTELLANOS
21,3,363,SANTA FE,ZENON PEREYRA,CASTELLANOS
21,3,371,SANTA FE,COLONIA BICHA,CASTELLANOS
21,3,372,SANTA FE,COLONIA CASTELLANOS,CASTELLANOS
21,4,5,SANTA FE,ALCORTA,CONSTITUCION
21,4,34,SANTA FE,BOMBAL,CONSTITUCION
21,4,47,SANTA FE,CAñADA RICA,CONSTITUCION
21,4,65,SANTA FE,CEPEDA,CONSTITUCION
21,4,111,SANTA FE,EMPALME VILLA CONSTITUCION,CONSTITUCION
21,4,137,SANTA FE,GENERAL GELLY,CONSTITUCION
21,4,142,SANTA FE,GODOY,CONSTITUCION
21,4,162,SANTA FE,JUAN BERNABE MOLINA,CONSTITUCION
21,4,164,SANTA FE,JUNCAL,CONSTITUCION
21,4,177,SANTA FE,LA VANGUARDIA,CONSTITUCION
21,4,216,SANTA FE,MAXIMO PAZ,CONSTITUCION
21,4,234,SANTA FE,PAVON,CONSTITUCION
21,4,235,SANTA FE,PAVON ARRIBA,CONSTITUCION
21,4,238,SANTA FE,PEYRANO,CONSTITUCION
21,4,267,SANTA FE,RUEDA,CONSTITUCION
21,4,313,SANTA FE,SANTA TERESA,CONSTITUCION
21,4,317,SANTA FE,SARGENTO CABRAL,CONSTITUCION
21,4,334,SANTA FE,THEOBALD,CONSTITUCION
21,4,349,SANTA FE,VILLA CONSTITUCION,CONSTITUCION
21,5,62,SANTA FE,CAYASTA,GARAY
21,5,80,SANTA FE,COLONIA MASCIAS,GARAY
21,5,148,SANTA FE,HELVECIA,GARAY
21,5,271,SANTA FE,SALADERO MARIANO CABAL,GARAY
21,5,312,SANTA FE,SANTA ROSA DE CALCHINES,GARAY
21,6,1,SANTA FE,AARON CASTELLANOS,GENERAL LOPEZ
21,6,10,SANTA FE,AMENABAR,GENERAL LOPEZ
21,6,39,SANTA FE,CAFFERATA,GENERAL LOPEZ
21,6,45,SANTA FE,CAñADA DEL UCLE,GENERAL LOPEZ
21,6,53,SANTA FE,CARMEN,GENERAL LOPEZ
21,6,55,SANTA FE,CARRERAS,GENERAL LOPEZ
21,6,96,SANTA FE,CHAPUY,GENERAL LOPEZ
21,6,97,SANTA FE,CHOVET,GENERAL LOPEZ
21,6,98,SANTA FE,COLONIA CHRISTOPHERSEN,GENERAL LOPEZ
21,6,101,SANTA FE,DIEGO DE ALVEAR,GENERAL LOPEZ
21,6,108,SANTA FE,ELORTONDO,GENERAL LOPEZ
21,6,123,SANTA FE,FIRMAT,GENERAL LOPEZ
21,6,153,SANTA FE,HUGHES,GENERAL LOPEZ
21,6,170,SANTA FE,LA CHISPA,GENERAL LOPEZ
21,6,178,SANTA FE,LABORDEBOY,GENERAL LOPEZ
21,6,192,SANTA FE,LAZZARINO,GENERAL LOPEZ
21,6,206,SANTA FE,MAGGIOLO,GENERAL LOPEZ
21,6,213,SANTA FE,MARIA TERESA,GENERAL LOPEZ
21,6,217,SANTA FE,MELINCUE,GENERAL LOPEZ
21,6,218,SANTA FE,MIGUEL TORRES (PUEBLO),GENERAL LOPEZ
21,6,226,SANTA FE,MURPHY,GENERAL LOPEZ
21,6,268,SANTA FE,RUFINO,GENERAL LOPEZ
21,6,282,SANTA FE,SAN EDUARDO,GENERAL LOPEZ
21,6,285,SANTA FE,SAN FRANCISCO DE SANTA FE,GENERAL LOPEZ
21,6,288,SANTA FE,SAN GREGORIO,GENERAL LOPEZ
21,6,303,SANTA FE,SANCTI SPIRITU,GENERAL LOPEZ
21,6,308,SANTA FE,SANTA ISABEL,GENERAL LOPEZ
21,6,333,SANTA FE,TEODELINA,GENERAL LOPEZ
21,6,341,SANTA FE,VENADO TUERTO,GENERAL LOPEZ
21,6,348,SANTA FE,VILLA CAñAS,GENERAL LOPEZ
21,6,361,SANTA FE,WHEELWRIGTH,GENERAL LOPEZ
21,7,18,SANTA FE,ARROYO CEIBAL,GENERAL OBLIGADO
21,7,25,SANTA FE,AVELLANEDA,GENERAL OBLIGADO
21,7,30,SANTA FE,BERNA,GENERAL OBLIGADO
21,7,103,SANTA FE,EL ARAZA,GENERAL OBLIGADO
21,7,104,SANTA FE,EL RABON,GENERAL OBLIGADO
21,7,105,SANTA FE,EL SOMBRERITO,GENERAL OBLIGADO
21,7,124,SANTA FE,FLORENCIA,GENERAL OBLIGADO
21,7,147,SANTA FE,GUADALUPE NORTE,GENERAL OBLIGADO
21,7,157,SANTA FE,INGENIERO CHANOURDIE,GENERAL OBLIGADO
21,7,176,SANTA FE,LA SARITA,GENERAL OBLIGADO
21,7,181,SANTA FE,LANTERI,GENERAL OBLIGADO
21,7,185,SANTA FE,LAS GARZAS,GENERAL OBLIGADO
21,7,190,SANTA FE,LAS TOSCAS,GENERAL OBLIGADO
21,7,199,SANTA FE,LOS LAURELES,GENERAL OBLIGADO
21,7,207,SANTA FE,MALABRIGO,GENERAL OBLIGADO
21,7,229,SANTA FE,NICANOR E. MOLINAS,GENERAL OBLIGADO
21,7,260,SANTA FE,RECONQUISTA,GENERAL OBLIGADO
21,7,275,SANTA FE,SAN ANTONIO DE OBLIGADO,GENERAL OBLIGADO
21,7,329,SANTA FE,TACUARENDI,GENERAL OBLIGADO
21,7,347,SANTA FE,VILLA ANA,GENERAL OBLIGADO
21,7,352,SANTA FE,VILLA GUILLERMINA,GENERAL OBLIGADO
21,7,355,SANTA FE,VILLA OCAMPO,GENERAL OBLIGADO
21,8,36,SANTA FE,BUSTINZA,IRIONDO
21,8,44,SANTA FE,CAñADA DE GOMEZ,IRIONDO
21,8,56,SANTA FE,CARRIZALES,IRIONDO
21,8,67,SANTA FE,CLASON,IRIONDO
21,8,90,SANTA FE,CORREA,IRIONDO
21,8,202,SANTA FE,LUCIO V. LOPEZ,IRIONDO
21,8,232,SANTA FE,OLIVEROS,IRIONDO
21,8,248,SANTA FE,PUEBLO ANDINO,IRIONDO
21,8,272,SANTA FE,SALTO GRANDE,IRIONDO
21,8,321,SANTA FE,SERODINO,IRIONDO
21,8,339,SANTA FE,TOTORAS,IRIONDO
21,8,350,SANTA FE,VILLA ELOISA,IRIONDO
21,9,17,SANTA FE,ARROYO AGUIAR,LA CAPITAL
21,9,19,SANTA FE,ARROYO LEYES,LA CAPITAL
21,9,37,SANTA FE,CABAL,LA CAPITAL
21,9,41,SANTA FE,CAMPO ANDINO,LA CAPITAL
21,9,43,SANTA FE,CANDIOTI,LA CAPITAL
21,9,109,SANTA FE,EMILIA,LA CAPITAL
21,9,179,SANTA FE,LAGUNA PAIVA,LA CAPITAL
21,9,204,SANTA FE,LLAMBI CAMPBELL,LA CAPITAL
21,9,223,SANTA FE,MONTE VERA,LA CAPITAL
21,9,228,SANTA FE,NELSON,LA CAPITAL
21,9,261,SANTA FE,RECREO,LA CAPITAL
21,9,296,SANTA FE,SAN JOSE DEL RICON,LA CAPITAL
21,9,307,SANTA FE,SANTA FE,LA CAPITAL
21,9,315,SANTA FE,SANTO TOME,LA CAPITAL
21,9,320,SANTA FE,SAUCE VIEJO,LA CAPITAL
21,11,83,SANTA FE,COLONIA SAN JOSE,LAS COLONIAS
21,11,92,SANTA FE,CULULU,LAS COLONIAS
21,11,107,SANTA FE,ELISA,LAS COLONIAS
21,11,110,SANTA FE,EMPALME SAN CARLOS,LAS COLONIAS
21,11,113,SANTA FE,ESPERANZA,LAS COLONIAS
21,11,120,SANTA FE,FELICIA,LAS COLONIAS
21,11,126,SANTA FE,FRANCK,LAS COLONIAS
21,11,146,SANTA FE,GRUTLY,LAS COLONIAS
21,11,150,SANTA FE,HIPATIA,LAS COLONIAS
21,11,155,SANTA FE,HUMBOLDT,LAS COLONIAS
21,11,159,SANTA FE,COLONIA ITUZAINGO,LAS COLONIAS
21,11,160,SANTA FE,JACINTO L. ARAUZ,LAS COLONIAS
21,11,173,SANTA FE,LA PELADA,LAS COLONIAS
21,11,191,SANTA FE,LAS TUNAS,LAS COLONIAS
21,11,211,SANTA FE,MARIA LUISA,LAS COLONIAS
21,11,214,SANTA FE,MATILDE,LAS COLONIAS
21,11,230,SANTA FE,NUEVO TORINO,LAS COLONIAS
21,11,240,SANTA FE,PILAR,LAS COLONIAS
21,11,246,SANTA FE,PROGRESO,LAS COLONIAS
21,11,247,SANTA FE,PROVIDENCIA,LAS COLONIAS
21,11,256,SANTA FE,PUJATO NORTE,LAS COLONIAS
21,11,263,SANTA FE,RIVADAVIA,LAS COLONIAS
21,11,269,SANTA FE,SA PEREIRA,LAS COLONIAS
21,11,273,SANTA FE,SAN AGUSTIN,LAS COLONIAS
21,11,278,SANTA FE,SAN CARLOS CENTRO,LAS COLONIAS
21,11,279,SANTA FE,SAN CARLOS NORTE,LAS COLONIAS
21,11,280,SANTA FE,SAN CARLOS SUD,LAS COLONIAS
21,11,291,SANTA FE,SAN JERONIMO DEL SAUCE,LAS COLONIAS
21,11,292,SANTA FE,SAN JERONIMO NORTE,LAS COLONIAS
21,11,299,SANTA FE,SAN MARIANO,LAS COLONIAS
21,11,305,SANTA FE,SANTA CLARA DE BUENA VISTA,LAS COLONIAS
21,11,310,SANTA FE,SANTA MARIA CENTRO,LAS COLONIAS
21,11,311,SANTA FE,SANTA MARIA NORTE,LAS COLONIAS
21,11,314,SANTA FE,SANTO DOMINGO,LAS COLONIAS
21,11,318,SANTA FE,SARMIENTO,LAS COLONIAS
21,11,325,SANTA FE,SOUTOMAYOR,LAS COLONIAS
21,11,368,SANTA FE,COLONIA CAVOUR,LAS COLONIAS
21,12,116,SANTA FE,ESTEBAN RAMS,NUEVE DE JULIO
21,12,136,SANTA FE,GATO COLORADO,NUEVE DE JULIO
21,12,145,SANTA FE,GREGORIA PEREZ DE DENIS,NUEVE DE JULIO
21,12,194,SANTA FE,LOGROñO,NUEVE DE JULIO
21,12,224,SANTA FE,MONTEFIORE,NUEVE DE JULIO
21,12,244,SANTA FE,POZO BORRADO,NUEVE DE JULIO
21,12,276,SANTA FE,SAN BERNARDO (N.J.),NUEVE DE JULIO
21,12,309,SANTA FE,SANTA MARGARITA,NUEVE DE JULIO
21,12,338,SANTA FE,TOSTADO,NUEVE DE JULIO
21,12,353,SANTA FE,VILLA MINETTI,NUEVE DE JULIO
21,12,367,SANTA FE,JUAN DE GARAY,NUEVE DE JULIO
21,13,2,SANTA FE,ACEBAL,ROSARIO
21,13,4,SANTA FE,ALBARELLOS,ROSARIO
21,13,8,SANTA FE,ALVAREZ,ROSARIO
21,13,14,SANTA FE,ARMINDA,ROSARIO
21,13,20,SANTA FE,ARROYO SECO,ROSARIO
21,13,54,SANTA FE,CARMEN DEL SAUCE,ROSARIO
21,13,87,SANTA FE,CORONEL BOGADO,ROSARIO
21,13,122,SANTA FE,FIGHIERA,ROSARIO
21,13,130,SANTA FE,FUNES,ROSARIO
21,13,138,SANTA FE,GENERAL LAGOS,ROSARIO
21,13,144,SANTA FE,GRANADERO BAIGORRIA,ROSARIO
21,13,156,SANTA FE,IBARLUCEA,ROSARIO
21,13,237,SANTA FE,PEREZ,ROSARIO
21,13,241,SANTA FE,PIñERO,ROSARIO
21,13,249,SANTA FE,PUEBLO ESTHER,ROSARIO
21,13,252,SANTA FE,PUEBLO MUñOZ,ROSARIO
21,13,266,SANTA FE,ROSARIO,ROSARIO
21,13,323,SANTA FE,SOLDINI,ROSARIO
21,13,346,SANTA FE,VILLA AMELIA,ROSARIO
21,13,351,SANTA FE,VILLA GOBERNADOR GALVEZ,ROSARIO
21,13,362,SANTA FE,ZAVALLA,ROSARIO
21,13,365,SANTA FE,ALVEAR (ESTACION),ROSARIO
21,13,369,SANTA FE,CORONEL RODOLFO S. DOMINGUEZ,ROSARIO
21,13,376,SANTA FE,URANGA,ROSARIO
21,16,3,SANTA FE,AGUARA,SAN CRISTOBAL
21,16,9,SANTA FE,AMBROSETTI,SAN CRISTOBAL
21,16,21,SANTA FE,ARRUFO,SAN CRISTOBAL
21,16,50,SANTA FE,CAPIVARA,SAN CRISTOBAL
21,16,66,SANTA FE,CERES,SAN CRISTOBAL
21,16,69,SANTA FE,COLONIA ANA,SAN CRISTOBAL
21,16,72,SANTA FE,BOSSI,SAN CRISTOBAL
21,16,76,SANTA FE,COLONIA DOS ROSAS Y LA LEGUA,SAN CRISTOBAL
21,16,82,SANTA FE,COLONIA ROSA,SAN CRISTOBAL
21,16,84,SANTA FE,CONSTANZA,SAN CRISTOBAL
21,16,93,SANTA FE,CURUPAITY,SAN CRISTOBAL
21,16,149,SANTA FE,HERSILIA,SAN CRISTOBAL
21,16,151,SANTA FE,HUANQUEROS,SAN CRISTOBAL
21,16,166,SANTA FE,LA CABRAL,SAN CRISTOBAL
21,16,168,SANTA FE,COLONIA LA CLARA,SAN CRISTOBAL
21,16,172,SANTA FE,LA LUCILA,SAN CRISTOBAL
21,16,175,SANTA FE,LA RUBIA,SAN CRISTOBAL
21,16,183,SANTA FE,LAS AVISPAS,SAN CRISTOBAL
21,16,186,SANTA FE,LAS PALMERAS,SAN CRISTOBAL
21,16,219,SANTA FE,MOISES VILLE,SAN CRISTOBAL
21,16,220,SANTA FE,MONIGOTES,SAN CRISTOBAL
21,16,222,SANTA FE,MONTE OSCURIDAD,SAN CRISTOBAL
21,16,231,SANTA FE,ÑANDUCITA,SAN CRISTOBAL
21,16,233,SANTA FE,PALACIOS,SAN CRISTOBAL
21,16,243,SANTA FE,PORTUGALETE,SAN CRISTOBAL
21,16,281,SANTA FE,SAN CRISTOBAL,SAN CRISTOBAL
21,16,289,SANTA FE,SAN GUILLERMO,SAN CRISTOBAL
21,16,316,SANTA FE,SANTURCE,SAN CRISTOBAL
21,16,324,SANTA FE,SOLEDAD,SAN CRISTOBAL
21,16,326,SANTA FE,SUARDI,SAN CRISTOBAL
21,16,357,SANTA FE,VILLA SARALEGUI,SAN CRISTOBAL
21,16,358,SANTA FE,VILLA TRINIDAD,SAN CRISTOBAL
21,17,7,SANTA FE,ALEJANDRA,SAN JAVIER
21,17,38,SANTA FE,CACIQUE ARIACAIQUIN,SAN JAVIER
21,17,77,SANTA FE,COLONIA DURAN,SAN JAVIER
21,17,165,SANTA FE,LA BRAVA,SAN JAVIER
21,17,265,SANTA FE,ROMANG,SAN JAVIER
21,17,290,SANTA FE,SAN JAVIER,SAN JAVIER
21,18,16,SANTA FE,AROCENA,SAN JERONIMO
21,18,26,SANTA FE,BARRANCAS,SAN JERONIMO
21,18,31,SANTA FE,BERNARDO DE IRIGOYEN,SAN JERONIMO
21,18,57,SANTA FE,CASALEGNO,SAN JERONIMO
21,18,64,SANTA FE,CENTENO,SAN JERONIMO
21,18,85,SANTA FE,CORONDA,SAN JERONIMO
21,18,99,SANTA FE,DESVIO ARIJON,SAN JERONIMO
21,18,100,SANTA FE,DIAZ,SAN JERONIMO
21,18,131,SANTA FE,GABOTO,SAN JERONIMO
21,18,133,SANTA FE,GALVEZ,SAN JERONIMO
21,18,139,SANTA FE,GESSLER,SAN JERONIMO
21,18,182,SANTA FE,LARRECHEA,SAN JERONIMO
21,18,196,SANTA FE,LOPEZ,SAN JERONIMO
21,18,205,SANTA FE,MACIEL,SAN JERONIMO
21,18,221,SANTA FE,MONJE,SAN JERONIMO
21,18,283,SANTA FE,SAN EUGENIO,SAN JERONIMO
21,18,284,SANTA FE,SAN FABIAN,SAN JERONIMO
21,18,286,SANTA FE,SAN GENARO,SAN JERONIMO
21,18,373,SANTA FE,IRIGOYEN,SAN JERONIMO
21,18,375,SANTA FE,CAMPO PIAGGIO,SAN JERONIMO
21,18,501,SANTA FE,LOMA ALTA,SAN JERONIMO
21,19,12,SANTA FE,ANGELONI,SAN JUSTO
21,19,63,SANTA FE,CAYASTACITO,SAN JUSTO
21,19,75,SANTA FE,COLONIA DOLORES,SAN JUSTO
21,19,117,SANTA FE,COLONIA ESTHER,SAN JUSTO
21,19,140,SANTA FE,GOBERNADOR CRESPO,SAN JUSTO
21,19,167,SANTA FE,LA CAMILA,SAN JUSTO
21,19,169,SANTA FE,LA CRIOLLA,SAN JUSTO
21,19,174,SANTA FE,LA PENCA Y CARAGUATA,SAN JUSTO
21,19,208,SANTA FE,MARCELINO ESCALADA,SAN JUSTO
21,19,227,SANTA FE,NARE,SAN JUSTO
21,19,236,SANTA FE,PEDRO GOMEZ CELLO,SAN JUSTO
21,19,258,SANTA FE,RAMAYON,SAN JUSTO
21,19,277,SANTA FE,SAN BERNARDO (S.J.),SAN JUSTO
21,19,297,SANTA FE,SAN JUSTO,SAN JUSTO
21,19,301,SANTA FE,SAN MARTIN NORTE,SAN JUSTO
21,19,322,SANTA FE,COLONIA SILVA,SAN JUSTO
21,19,343,SANTA FE,VERA Y PINTADO,SAN JUSTO
21,19,344,SANTA FE,VIDELA,SAN JUSTO
21,20,6,SANTA FE,ALDAO,SAN LORENZO
21,20,49,SANTA FE,CAPITAN BERMUDEZ,SAN LORENZO
21,20,51,SANTA FE,CARCARAñA,SAN LORENZO
21,20,86,SANTA FE,CORONEL ARNOLD,SAN LORENZO
21,20,127,SANTA FE,FRAY LUIS BELTRAN,SAN LORENZO
21,20,129,SANTA FE,FUENTES,SAN LORENZO
21,20,203,SANTA FE,LUIS PALACIOS,SAN LORENZO
21,20,254,SANTA FE,PUERTO GENERAL SAN MARTIN,SAN LORENZO
21,20,255,SANTA FE,PUJATO,SAN LORENZO
21,20,262,SANTA FE,RICARDONE,SAN LORENZO
21,20,264,SANTA FE,ROLDAN,SAN LORENZO
21,20,293,SANTA FE,SAN JERONIMO SUD,SAN LORENZO
21,20,298,SANTA FE,SAN LORENZO,SAN LORENZO
21,20,335,SANTA FE,TIMBUES,SAN LORENZO
21,20,354,SANTA FE,VILLA MUGUETA,SAN LORENZO
21,21,48,SANTA FE,CAñADA ROSQUIN,SAN MARTIN
21,21,52,SANTA FE,CARLOS PELLEGRINI,SAN MARTIN
21,21,58,SANTA FE,CASAS,SAN MARTIN
21,21,60,SANTA FE,CASTELAR,SAN MARTIN
21,21,70,SANTA FE,COLONIA BELGRANO,SAN MARTIN
21,21,91,SANTA FE,CRISPI,SAN MARTIN
21,21,106,SANTA FE,EL TREBOL,SAN MARTIN
21,21,180,SANTA FE,LANDETA,SAN MARTIN
21,21,184,SANTA FE,LAS BANDURRIAS,SAN MARTIN
21,21,188,SANTA FE,LAS PETACAS,SAN MARTIN
21,21,198,SANTA FE,LOS CARDOS,SAN MARTIN
21,21,212,SANTA FE,MARIA SUSANA,SAN MARTIN
21,21,239,SANTA FE,PIAMONTE,SAN MARTIN
21,21,294,SANTA FE,SAN JORGE,SAN MARTIN
21,21,300,SANTA FE,SAN MARTIN DE LAS ESCOBAS,SAN MARTIN
21,21,319,SANTA FE,SASTRE,SAN MARTIN
21,21,340,SANTA FE,TRAILL,SAN MARTIN
21,22,40,SANTA FE,CALCHAQUI,VERA
21,22,46,SANTA FE,CAñADA OMBU,VERA
21,22,125,SANTA FE,FORTIN OLMOS,VERA
21,22,134,SANTA FE,GARABATO,VERA
21,22,143,SANTA FE,GOLONDRINA,VERA
21,22,158,SANTA FE,INTIYACO,VERA
21,22,171,SANTA FE,LA GALLARETA,VERA
21,22,197,SANTA FE,LOS AMORES,VERA
21,22,209,SANTA FE,COLONIA MARGARITA,VERA
21,22,332,SANTA FE,TARTAGAL,VERA
21,22,336,SANTA FE,TOBA,VERA
21,22,342,SANTA FE,VERA,VERA
22,1,22,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,CAPITAL
22,1,436,SANTIAGO DEL ESTERO,EL DEAN,CAPITAL
22,1,490,SANTIAGO DEL ESTERO,REMES,CAPITAL
22,1,494,SANTIAGO DEL ESTERO,SAN BENITO B. C.,CAPITAL
22,1,496,SANTIAGO DEL ESTERO,SAN PEDRO,CAPITAL
22,1,500,SANTIAGO DEL ESTERO,SANTA MARIA,CAPITAL
22,1,505,SANTIAGO DEL ESTERO,SOL DE MAYO,CAPITAL
22,1,531,SANTIAGO DEL ESTERO,VILLA ZANJON,CAPITAL
22,1,534,SANTIAGO DEL ESTERO,VUELTA DE LA BARRANCA,CAPITAL
22,2,6,SANTIAGO DEL ESTERO,COLONIA DORA,AVELLANEDA
22,2,448,SANTIAGO DEL ESTERO,HERRERA,AVELLANEDA
22,2,451,SANTIAGO DEL ESTERO,ICAñO,AVELLANEDA
22,2,472,SANTIAGO DEL ESTERO,LUGONES,AVELLANEDA
22,2,485,SANTIAGO DEL ESTERO,PUNTA POZO,AVELLANEDA
22,2,489,SANTIAGO DEL ESTERO,REAL SAYANA,AVELLANEDA
22,2,522,SANTIAGO DEL ESTERO,VILLA MAILIN,AVELLANEDA
22,2,666,SANTIAGO DEL ESTERO,,AVELLANEDA
22,3,18,SANTIAGO DEL ESTERO,PINTO,AGUIRRE
22,3,409,SANTIAGO DEL ESTERO,ARGENTINA,AGUIRRE
22,3,417,SANTIAGO DEL ESTERO,CASARES,AGUIRRE
22,3,473,SANTIAGO DEL ESTERO,MALBRAN,AGUIRRE
22,4,4,SANTIAGO DEL ESTERO,CAMPO GALLO,ALBERDI
22,4,427,SANTIAGO DEL ESTERO,DONADEU,ALBERDI
22,4,450,SANTIAGO DEL ESTERO,HUACHANA,ALBERDI
22,4,493,SANTIAGO DEL ESTERO,SACHAYOJ,ALBERDI
22,4,502,SANTIAGO DEL ESTERO,SANTOS LUGARES,ALBERDI
22,4,666,SANTIAGO DEL ESTERO,,ALBERDI
22,5,28,SANTIAGO DEL ESTERO,VILLA ATAMISQUI,ATAMISQUI
22,5,439,SANTIAGO DEL ESTERO,ESTACION ATAMISQUI,ATAMISQUI
22,5,449,SANTIAGO DEL ESTERO,HOYON,ATAMISQUI
22,5,452,SANTIAGO DEL ESTERO,JUANILLO,ATAMISQUI
22,5,475,SANTIAGO DEL ESTERO,MEDELLIN,ATAMISQUI
22,5,666,SANTIAGO DEL ESTERO,,ATAMISQUI
22,6,5,SANTIAGO DEL ESTERO,CLODOMIRA,BANDA
22,6,10,SANTIAGO DEL ESTERO,LA BANDA (I),BANDA
22,6,11,SANTIAGO DEL ESTERO,LA BANDA (II),BANDA
22,6,401,SANTIAGO DEL ESTERO,ABRA GRANDE,BANDA
22,6,407,SANTIAGO DEL ESTERO,ANTAJE,BANDA
22,6,408,SANTIAGO DEL ESTERO,ARDILES,BANDA
22,6,416,SANTIAGO DEL ESTERO,CAñADA ESCOBAR,BANDA
22,6,419,SANTIAGO DEL ESTERO,CHAUPI POZO,BANDA
22,6,429,SANTIAGO DEL ESTERO,EL AIBE,BANDA
22,6,441,SANTIAGO DEL ESTERO,ESTACION SIMBOLAR,BANDA
22,6,454,SANTIAGO DEL ESTERO,LA AURORA,BANDA
22,6,470,SANTIAGO DEL ESTERO,LOS QUIROGA,BANDA
22,6,478,SANTIAGO DEL ESTERO,NEGRA MUERTA,BANDA
22,6,497,SANTIAGO DEL ESTERO,SAN RAMON - LA DARSENA,BANDA
22,6,666,SANTIAGO DEL ESTERO,,BANDA
22,7,2,SANTIAGO DEL ESTERO,BANDERA,BELGRANO
22,7,426,SANTIAGO DEL ESTERO,CUATRO BOCAS,BELGRANO
22,7,442,SANTIAGO DEL ESTERO,FORTIN INCA,BELGRANO
22,7,447,SANTIAGO DEL ESTERO,GUARDIA ESCOLTA,BELGRANO
22,8,15,SANTIAGO DEL ESTERO,MONTE QUEMADO,COPO
22,8,17,SANTIAGO DEL ESTERO,PAMPA DE LOS GUANACOS,COPO
22,8,403,SANTIAGO DEL ESTERO,AHI VEREMOS (COPO),COPO
22,8,432,SANTIAGO DEL ESTERO,EL CABURE,COPO
22,8,469,SANTIAGO DEL ESTERO,LOS PIRPINTOS,COPO
22,8,495,SANTIAGO DEL ESTERO,SAN JOSE DEL BOQUERON,COPO
22,8,523,SANTIAGO DEL ESTERO,VILLA MATOQUE,COPO
22,9,8,SANTIAGO DEL ESTERO,FRIAS,CHOYA
22,9,421,SANTIAGO DEL ESTERO,CHOYA,CHOYA
22,9,460,SANTIAGO DEL ESTERO,LAPRIDA,CHOYA
22,9,510,SANTIAGO DEL ESTERO,TAPSO,CHOYA
22,9,521,SANTIAGO DEL ESTERO,VILLA LA PUNTA,CHOYA
22,9,666,SANTIAGO DEL ESTERO,,CHOYA
22,10,413,SANTIAGO DEL ESTERO,BANDERA BAJADA,FIGUEROA
22,10,418,SANTIAGO DEL ESTERO,CASPI CORRAL,FIGUEROA
22,10,423,SANTIAGO DEL ESTERO,COLONIA EL SIMBOLAR,FIGUEROA
22,10,455,SANTIAGO DEL ESTERO,LA CAñADA,FIGUEROA
22,10,456,SANTIAGO DEL ESTERO,LA INVERNADA,FIGUEROA
22,10,514,SANTIAGO DEL ESTERO,VACA HUAñUNA,FIGUEROA
22,10,518,SANTIAGO DEL ESTERO,VILLA FIGUEROA,FIGUEROA
22,10,666,SANTIAGO DEL ESTERO,,FIGUEROA
22,11,21,SANTIAGO DEL ESTERO,SAN PEDRO DE GUASAYAN,GUASAYAN
22,11,428,SANTIAGO DEL ESTERO,DOñA LUISA,GUASAYAN
22,11,446,SANTIAGO DEL ESTERO,GUAMPACHA,GUASAYAN
22,11,463,SANTIAGO DEL ESTERO,LAVALLE,GUASAYAN
22,11,499,SANTIAGO DEL ESTERO,SANTA CATALINA,GUASAYAN
22,11,519,SANTIAGO DEL ESTERO,VILLA GUASAYAN,GUASAYAN
22,11,666,SANTIAGO DEL ESTERO,,GUASAYAN
22,12,19,SANTIAGO DEL ESTERO,POZO HONDO,JIMENEZ
22,12,430,SANTIAGO DEL ESTERO,EL ARENAL,JIMENEZ
22,12,431,SANTIAGO DEL ESTERO,EL BOBADAL,JIMENEZ
22,12,433,SANTIAGO DEL ESTERO,EL CHARCO,JIMENEZ
22,12,444,SANTIAGO DEL ESTERO,GRAMILLA,JIMENEZ
22,12,513,SANTIAGO DEL ESTERO,TRES CRUCES,JIMENEZ
22,12,666,SANTIAGO DEL ESTERO,,JIMENEZ
22,13,12,SANTIAGO DEL ESTERO,LORETO,LORETO
22,13,458,SANTIAGO DEL ESTERO,LA NORIA,LORETO
22,13,498,SANTIAGO DEL ESTERO,SAN VICENTE,LORETO
22,13,503,SANTIAGO DEL ESTERO,SAUCE SOLO,LORETO
22,13,511,SANTIAGO DEL ESTERO,TIO POZO,LORETO
22,13,525,SANTIAGO DEL ESTERO,VILLA NUEVA,LORETO
